0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-19,17,28,-3,13,-22,71,-41,-4,-3,-38,63,27,30,-2,-18,26,6,18,-8,-37,41,-3,-3,13,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-17,34,-23,2,-3,-6,-47,24,10,-9,7,2,4,-13,6,-9,6,-50,72,70,-10,-4,52,24,-13,-15,-4,0,-23,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,5,3,-3,-1,4,-8,-31,-8,-5,4,-5,6,0,-27,-18,27,15,65,-89,34,-27,-3,-60,7,-24,-3,-1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,-3,0,4,-8,5,-4,-3,6,3,1,6,-15,-13,15,-11,12,-9,-25,10,15,7,8,-20,1,-3,5,15,23,57,8,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-4,14,0,-6,3,-4,0,3,-2,-1,-7,20,17,-28,2,21,41,32,-15,-8,-6,-14,-5,6,-9,1,15,24,-8,-5,-5,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,-3,-1,-6,0,-4,12,-3,0,-10,1,0,0,-2,-11,4,-45,6,47,-9,-19,-5,-5,-9,6,10,-25,-7,-30,-5,8,30,-19,12,6,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,-5,3,1,3,3,3,1,2,3,4,-3,1,1,9,0,-26,-3,24,-23,-1,-4,-3,-7,3,-5,-4,3,-26,13,-34,25,9,-32,1,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,1,-25,15,-5,-8,-1,-3,4,-1,-3,-3,-6,-6,-5,7,-10,-22,-3,-7,-3,6,9,2,0,-3,0,4,4,-16,6,12,6,9,-26,-11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,7,16,-20,20,-4,10,3,13,3,5,6,-6,-8,-10,11,-3,24,-9,-4,-1,4,23,-13,8,12,13,-23,-2,25,3,-46,10,-10,22,-5,-7,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,0,-17,9,4,-13,-4,-4,-3,-1,-6,6,-25,2,8,4,1,-9,4,-5,3,-2,-11,14,-4,-4,2,1,-2,-9,9,-10,-1,24,-49,38,54,-12,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
